,title,Release_year,Running_time,Review_summary,Actors,Storyline,UserRating,CriticRating,Budget,WorldGross
0,Anna Karenina,2012,2h 9min,An interesting take on AK marred by pretentiousness,"['Keira Knightley', 'Jude Law', 'Aaron Taylor-Johnson']","In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose to Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate. —Claudio Carvalho, Rio de Janeiro, Brazil",6.6,6.3,"$40,600,000 (estimated)","$68,929,150 "
1,The Revenant,2015,2h 36min,"""The filming may not appeal to those who are reluctant to watch a snowbound, wintry forest in slowness of motion....""","['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter']","While exploring uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him. —Jwelch5742",8,7.6,"$135,000,000 (estimated)","$532,950,503 "
2,American Factory,2019,1h 50min,China is Next,"[""Junming 'Jimmy' Wang"", 'Robert Allen', 'Sherrod Brown']","In post-industrial Ohio, a Chinese billionaire opens a new factory in the husk of an abandoned General Motors plant, hiring two thousand blue-collar Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class America. —Production",7.4,8.6,,
3,사운드 오브 메탈,2019,2h,A mighty fine movie,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci']","Keeping at bay his inner demons by devoting himself to art, metal drummer, Ruben, has been living for the moment for the past four years. Then, while on tour with his lead-singer/girlfriend, Lou, Ruben realises that his hearing is rapidly deteriorating. As this sudden hearing loss turns his world upside down, and numbing fear paired with angry denial take over, Ruben reluctantly accepts to join a small deaf community overseen by Joe, a compassionate Vietnam War veteran. Now, Ruben needs to find some solid ground, understand that being deaf is not a handicap and that deafness isn't something to fix. But, is Ruben willing to accept his new life and learn how to be deaf? —Nick Riganas",7.8,8.2,,"$516,520 "
4,The Lady in Number 6: Music Saved My Life,2013,39min,The wonderful lady in Apartment 6,"['Aliza Sommer-Herz', 'Zdenka Fantlova', 'Anita Lasker-Wallfisch']","The Lady In Number 6 is one of the most inspirational and uplifting stories of the year. 109 year old, Aliza Sommer-Herz, the world's oldest pianist and Holocaust survivor shares her story on how to achieve a long and happy life. She discussed the importance of music, laughter and how to have an optimistic outlook on life. —Jwelch5742",8,,,
5,The Hurt Locker,2008,2h 11min,Bigelow Detonates All the Right Marks,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty']","An intense portrayal of elite soldiers who have one of the most dangerous jobs in the world: disarming bombs in the heat of combat. When a new sergeant, James, takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn and Eldridge, by recklessly plunging them into a deadly game of urban combat, behaving as if he's indifferent to death. As the men struggle to control their wild new leader, the city explodes into chaos, and James' true character reveals itself in a way that will change each man forever. —BWR Public Relations",7.5,9.5,"$15,000,000 (estimated)","$49,259,766 "
6,Midnight in Paris,2011,1h 34min,"Ah, they don't make them like this any more","['Owen Wilson', 'Rachel McAdams', 'Kathy Bates']","Gil and Inez travel to Paris as a tag-along vacation on her parents' business trip. Gil is a successful Hollywood writer but is struggling on his first novel. He falls in love with the city and thinks he and Inez should move there after they get married, but Inez does not share his romantic notions of the city or the idea that the 1920s were the golden age. When Inez goes off dancing with her friends, Gil takes a walk at midnight and discovers what could be the ultimate source of inspiration for writing. Gil's daily walks at midnight in Paris could take him closer to the heart of the city but further from the woman he's about to marry. —napierslogs",7.7,8.1,"$17,000,000 (estimated)","$151,670,143 "
7,Roma,2018,2h 15min,A memory stright to the brain but will be challenging for some,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey']","Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When Sofía decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family. —Jwelch5742",7.7,9.6,,"$1,140,769 "
8,Les Misérables,2012,2h 38min,an amazing masterpiece,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion. —Anonymous",7.6,6.3,"$61,000,000 (estimated)","$441,809,770 "
9,God of Love,2010,18min,Excellent short film,"['Luke Matheny', 'Marian Brock', 'Christopher Hirsh']","A lovestruck, lounge-singing darts champion finds his prayers are answered -- literally -- when he mysteriously receives a box of love-inducing darts.",7.6,,,
