,title,UserRating,CriticRating,Budget,WorldGross
0,The Fighter,7.8,7.9,"$25,000,000 (estimated)","$129,190,869"
1,Bombshell,6.8,6.4,"$32,000,000 (estimated)","$61,404,394"
2,Alice in Wonderland,6.4,5.3,"$200,000,000 (estimated)","$1,025,468,216"
3,Geu-nyeo,8.0,9.1,"$23,000,000 (estimated)","$48,517,427"
4,Moonlight,7.4,9.9,"$4,000,000 (estimated)","$65,336,603"
5,Spider-Man: Into the Spider-Verse,8.4,8.7,"$90,000,000 (estimated)","$375,540,831"
6,Avatar,7.8,8.3,"$237,000,000 (estimated)","$2,847,246,203"
7,Argo,7.7,8.6,"$44,500,000 (estimated)","$232,325,503"
8,The Jungle Book,7.4,7.7,"$175,000,000 (estimated)","$966,554,929"
9,Black Panther,7.3,8.8,"$200,000,000 (estimated)","$1,347,597,973"
10,Sosyeol neteuwokeu,7.7,9.5,"$40,000,000 (estimated)","$224,920,375"
11,Ida,7.4,9.1,,"$11,156,836"
12,Inocente,7.3,,,
13,Whiplash,8.5,8.8,"$3,300,000 (estimated)","$49,396,747"
14,"Three Billboards Outside Ebbing, Missouri",8.1,8.8,"$15,000,000 (estimated)","$160,260,573"
15,La La Land,8.0,9.4,"$30,000,000 (estimated)","$448,906,865"
16,Dallas Buyers Club,8.0,7.9,"$5,000,000 (estimated)","$55,736,588"
17,Saving Face,8.0,,,
18,Birdman or (The Unexpected Virtue of Ignorance),7.7,8.7,"$18,000,000 (estimated)","$103,215,094"
19,Boyhood,7.9,10.0,"$4,000,000 (estimated)","$48,137,666"
20,Mad Max: Fury Road,8.1,9.0,"$150,000,000 (estimated)","$375,658,750"
21,소울,8.1,8.3,,"$120,957,731"
22,Gyeowool Wangguk,7.4,7.5,"$150,000,000 (estimated)","$1,281,508,100"
23,Little Women,7.8,9.1,"$40,000,000 (estimated)","$216,601,214"
24,The Artist,7.9,8.9,"$15,000,000 (estimated)","$133,432,856"
25,BlacKkKlansman,7.5,8.3,"$15,000,000 (estimated)","$93,413,709"
26,Manchester by the Sea,7.8,9.6,"$9,000,000 (estimated)","$78,988,148"
27,Marriage Story,7.9,9.4,"$18,600,000 (estimated)","$333,686"
28,1917,8.3,7.8,"$95,000,000 (estimated)","$384,983,987"
29,Inception,8.8,7.4,"$160,000,000 (estimated)","$836,836,967"
30,Gravity,7.7,9.6,"$100,000,000 (estimated)","$723,192,705"
31,The Imitation Game,8.0,7.1,"$14,000,000 (estimated)","$233,555,708"
32,The Lady in Number 6: Music Saved My Life,8.0,,,
33,If Anything Happens I Love You,7.8,,,
34,Skin,7.1,,,
35,Inglourious Basterds,8.3,6.9,"$70,000,000 (estimated)","$321,457,747"
