,Best Motion Picture of the Year,Best Performance by an Actor in a Leading Role,Best Performance by an Actress in a Leading Role,Best Performance by an Actor in a Supporting Role,Best Performance by an Actress in a Supporting Role,Best Achievement in Directing,"Best Writing, Original Screenplay","Best Writing, Adapted Screenplay",Best Achievement in Cinematography,Best Achievement in Art Direction,Best Achievement in Film Editing,Best Achievement in Costume Design,"Best Achievement in Music Written for Motion Pictures, Original Song","Best Achievement in Music Written for Motion Pictures, Original Score",Best Achievement in Sound Mixing,Best Achievement in Sound Editing,Best Achievement in Visual Effects,"Best Short Film, Animated","Best Short Film, Live Action","Best Documentary, Short Subjects","Best Documentary, Features",Best Foreign Language Film of the Year,Best Animated Feature Film of the Year,Best Achievement in Makeup,Best Achievement in Production Design,Best Achievement in Makeup and Hairstyling,Best Animated Feature,"Best Documentary, Short Subject","Best Documentary, Feature",Best Original Screenplay,Best Adapted Screenplay,Best Achievement in Music Written for Motion Pictures (Original Score),Best Achievement in Music Written for Motion Pictures (Original Song),Best Documentary Feature,Best Documentary Short Subject,Best Animated Short Film,Best Live Action Short Film,Best Animated Feature Film,None,Best International Feature Film,Best Sound
2010,The Hurt Locker,Crazy Heart,The Blind Side,Inglourious Basterds,Precious,The Hurt Locker,The Hurt Locker,Precious,Avatar,Avatar,The Hurt Locker,The Young Victoria,Crazy Heart,Up,The Hurt Locker,The Hurt Locker,Avatar,Logorama,The New Tenants,Music by Prudence,The Cove,El Sikeuleto: Bimil-ui Nundongja,Up,Star Trek: The Beginning,,,,,,,,,,,,,,,,,
2011,The King's Speech,The King's Speech,Black Swan,The Fighter,The Fighter,The King's Speech,The King's Speech,Sosyeol neteuwokeu,Inception,Alice in Wonderland,Sosyeol neteuwokeu,Alice in Wonderland,Toy Story 3,Sosyeol neteuwokeu,Inception,Inception,Inception,The Lost Thing,God of Love,Strangers No More,Inside Job,Hævnen,Toy Story 3,The Wolfman,,,,,,,,,,,,,,,,,
2012,The Artist,The Artist,The Iron Lady,Beginners,The Help,The Artist,Midnight in Paris,The Descendants,Hugo,Hugo,The Girl with the Dragon Tattoo,The Artist,The Muppets,The Artist,Hugo,Hugo,Hugo,The Fantastic Flying Books of Mr. Morris Lessmore,The Shore,Saving Face,Undefeated,Jodaeiye Nader az Simin,Rango,The Iron Lady,,,,,,,,,,,,,,,,,
2013,Argo,Lincoln,Silver Linings Playbook,Django Unchained,Les Mis?rables,Life of Pi,Django Unchained,Argo,Life of Pi,,Argo,Anna Karenina,Skyfall,Life of Pi,Les Mis?rables,Skyfall,Life of Pi,Paperman,Curfew,Inocente,Searching for Sugar Man,Amour,,,Lincoln,Les Mis?rables,Merida and the Magical Forest,,,,,,,,,,,,,,
2014,12 Years a Slave,Dallas Buyers Club,Blue Jasmine,Dallas Buyers Club,12 Years a Slave,Gravity,Geu-nyeo,12 Years a Slave,Gravity,,Gravity,The Great Gatsby,Gyeowool Wangguk,Gravity,Gravity,Gravity,Gravity,Mr Hublot,Helium,The Lady in Number 6: Music Saved My Life,Twenty Feet from Stardom,La grande bellezza,Gyeowool Wangguk,,The Great Gatsby,Dallas Buyers Club,,,,,,,,,,,,,,,
2015,Birdman or (The Unexpected Virtue of Ignorance),The Theory of Everything,Still Alice,Whiplash,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),The Imitation Game,Birdman or (The Unexpected Virtue of Ignorance),,Whiplash,The Grand Budapest Hotel,Selma,The Grand Budapest Hotel,Whiplash,American Sniper,Interstellar,Feast,The Phone Call,,,Ida,Big Hero 6,,The Grand Budapest Hotel,The Grand Budapest Hotel,,Crisis Hotline: Veterans Press 1,Citizenfour,,,,,,,,,,,,
2016,Spotlight,The Revenant,Room,Bridge of Spies,The Danish Girl,The Revenant,Spotlight,The Big Short,The Revenant,,Mad Max: Fury Road,Mad Max: Fury Road,Spectre,The Hateful Eight,Mad Max: Fury Road,Mad Max: Fury Road,Ex Machina,Historia de un oso,Stutterer,,,Saul fia,Inside Out,,Mad Max: Fury Road,Mad Max: Fury Road,,A Girl in the River: The Price of Forgiveness,Amy,,,,,,,,,,,,
2017,Moonlight,Manchester by the Sea,La La Land,Moonlight,Fences,La La Land,,,La La Land,,Hacksaw Ridge,Sinbihan Dongmulsajeon (Mysterious Animal Dictionary),,,Hacksaw Ridge,Arrival,The Jungle Book,,,,,Forushande,Jutopia,,La La Land,Suicide Squad,,,,Manchester by the Sea,Moonlight,La La Land,La La Land,O.J.: Made in America,The White Helmets,Piper,Mindenki,,,,
2018,The Shape of Water,Darkest Hour,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri","I, Tonya",The Shape of Water,,,Blade Runner 2049,,Dunkirk,Phantom Thread,,,Dunkirk,Dunkirk,Blade Runner 2049,,,,,Una mujer fant?stica,,,The Shape of Water,Darkest Hour,,,,Get Out,Call Me by Your Name,The Shape of Water,Coco,Icarus,Heaven Is a Traffic Jam on the 405,Dear Basketball,The Silent Child,Coco,Carne y Arena,,
2019,Green Book,Bohemian Rhapsody,The Favourite,Green Book,If Beale Street Could Talk,Roma,,,Roma,,Bohemian Rhapsody,Black Panther,,,Bohemian Rhapsody,Bohemian Rhapsody,First Man,,,,,Roma,,,Black Panther,Vice,,,,Green Book,BlacKkKlansman,Black Panther,A Star Is Born,Free Solo,Period. End of Sentence.,Bao,Skin,Spider-Man: Into the Spider-Verse,,,
2020,Gisaengchung,Joker,Judy,Once Upon a Time... in Hollywood,Marriage Story,Gisaengchung,,,1917,,Ford v Ferrari,Little Women,,,1917,Ford v Ferrari,1917,,,,,,,,Once Upon a Time... in Hollywood,Bombshell,,,,Gisaengchung,Jojo Rabbit,Joker,Rocketman,American Factory,Learning to Skateboard in a Warzone (If You're a Girl),Hair Love,The Neighbors' Window,Toy Story 4,,Gisaengchung,
2021,노매드랜드,더 파더,노매드랜드,Judas and the Black Messiah,미나리,노매드랜드,,,Mank,,사운드 오브 메탈,Ma Rainey's Black Bottom,,,,,Tenet,,,,,,,,Mank,Ma Rainey's Black Bottom,,,,프라미싱 영 우먼,더 파더,소울,Judas and the Black Messiah,My Octopus Teacher,Colette,If Anything Happens I Love You,Two Distant Strangers,소울,,Druk,사운드 오브 메탈
